puuid,tier,lp,wins,losses,last_updated_utc
tCDCFkLBVv9qPJRMszqanwdslYI56Vi4hYV58FrPatICj-lP3kyT2efeSKZFeA1avKtFlzkrnfN0jA,challenger,1170,105,67,2026-07-02T10:45:35
LO5jbSbjVSSoRAoWfNQOjjH406EFx5RfMrSBsG-mJZ8gOTlfHgYZkg559EAM84NQSMtGaB00EQILEg,challenger,1159,231,211,2026-07-02T10:45:35
nNvqblTAExeZ4vlr_e2J4-V-IdkoXn6ijn7AOtX42rgr_0KzTZjo7u8ovFi3e1suLqxuSVtJbANlmQ,challenger,1154,111,66,2026-07-02T10:45:35
lu0EYH8Rq7C0ueiKHSrGt9Zus1K7tz4kKxPc4EhFSBUL71vbxvI8DedUtfOK6JtIatyTmLOR3tNcbg,challenger,1152,118,93,2026-07-02T10:45:35
3Bb3fx_3h0a_LNQ2EKotUIrLbE7_LNwVguQN0X8GABmSEjJ6Vl5puNh7bQFOh1-fZHANreBpQFPGbQ,challenger,1152,62,25,2026-07-02T10:45:35
G6oJpdKDqqASuHoYIC7ibltWpiKZECM_NhqsXxnhhchdaI80wYcNslzQbXTLl_C_pg82WdiolVmYqQ,challenger,1142,289,269,2026-07-02T10:45:35
1AVEqVrtSFwo3P4kEgUGEe5pucKJ-vfrdMB1DmlE55wDFhlHRhJ_Gl3BUv72u25QQMdRxNoo0dVaUQ,challenger,1138,88,69,2026-07-02T10:45:35
BzUyywWKfeiFpHkcBLOXOQpYpR_4v63Wk5ivyex3bXPHiGUykAx0rBZQbQcF9w5srkGkgcAySMvQgQ,challenger,1135,127,93,2026-07-02T10:45:35
b8QcHME8KjoTZPku4T3SpttG39_8svPqsCKfGYAWwzufgqBF3s2Z6MJxeXtuA0Xw_LiVEUsc6XpeyA,challenger,1134,161,125,2026-07-02T10:45:35
JIGVrHtlee6t2ysBGivWM-3hjpHWlQlY9EN8X6NWbYDRr0VsrZBQCzLoueAVj4eHMQp7116NcFcMVQ,challenger,1132,102,76,2026-07-02T10:45:35
yFtspDG0KYPXLLEYU1ROt3Fii1YAiRH711w4HjLahnZk5HGy8CmqQ6dSEInx2LKIJFHRW8H6F2FjiA,challenger,1130,88,58,2026-07-02T10:45:35
bOGILCHEfPXYh6C8wx6GX0xCJOavgap7G1NBquoxf8lAbsDlRLG_XcrRG5J_Z-11binPt1GcAyNjsA,challenger,1118,231,212,2026-07-02T10:45:35
dMFNRRHFl7wW1YcFynLQ7FIWSCdyqPN_xUo6lmXtclMalx6yKtmIrEL6dvpODRobhYrRjIFhHqdY6A,challenger,1115,102,83,2026-07-02T10:45:35
Ec88YK6BrYWQaphQ9ptmuqWJ0qLxhiFsRaHnEZaj2QrbtzpCHbRmhxDDc7t26QVXBzLIc7QMeRTkCQ,challenger,1113,112,86,2026-07-02T10:45:35
MPIfgN4j-325oFK5FbtAExWZw7jtgq-YJ_glCkfSTbF2rvPSe4exFHdmp2-kuZSiBNKfgRytLKcpPA,challenger,1112,136,119,2026-07-02T10:45:35
kJ5Bte7ZfDWLVoVopZXT-BWNGsYlPnL88SvCXRnsP7-OL8JAXHQABiOhLrNXngpv3naqZoMc5h5myg,challenger,1107,88,70,2026-07-02T10:45:35
a-kB_b5Ig0f2VZKnH96Q9LCTd-36o6sPIX5Tf2l2X_PjwrwhlInwg5nBGhuecm64WXQhOU_f4KKPnQ,challenger,1102,119,100,2026-07-02T10:45:35
5lybdS7FOzBB-7KxBefXoPyC0ER313gadwnJYDMuB4PYPT5ktKbEftNvWj06fRBWbVhIyRBZ69Apng,challenger,1097,137,98,2026-07-02T10:45:35
05AOOtncayE8UqbqngOJd8dcuKK8iEPZhUewJ7HBZ5fhh-_cKGjElK-kvL5T5TUzqaMSReAy5P_AwQ,challenger,1096,93,68,2026-07-02T10:45:35
EWQQrICcH9yq-ZWt5bxFrJbL7Pz9gcM43KbxGP9D08axydMh03lLUxI525KxOVeAYVrdv1fDuDwc5g,challenger,1092,102,86,2026-07-02T10:45:35
WM8iD5qbo4l2kZZlB6sVKFH8mXq6leKTpUk_-uwqCMt5fxOml6HH5o5TWtqPgBtEklz0XygV_Cg3TA,challenger,1089,141,83,2026-07-02T10:45:35
CMem9dHGZ_7UxLXK01dFWbe9nMaewZiracZ9DZZ5D7DvxK9GyTkYoiSCbLTKsEU7bkkX-Du0KWTDhg,challenger,1088,153,110,2026-07-02T10:45:35
F0ObzRZ5H-IVqqtKsRedyXtmQhp9BEHr9DRZWUOJrcXAKdsFCWbJY4Kh7dNI-7T07lFtmSshYnLmmQ,challenger,1085,199,187,2026-07-02T10:45:35
3UoIquvzr1w88Q_VR6OL42g8c6cqozePmN9ZWxuUSXepzxRNBQUVjR_izbVF59azPqAnwDEvoRxQgg,challenger,1085,138,52,2026-07-02T10:45:35
K2ptCV1UJANA_5A_N2p_5XdMQvPvBbt_Qme43JzMCv0gYWYK6sT-TjoP12oUQcRl3_8vW5Gk-VcHqg,challenger,1082,85,63,2026-07-02T10:45:35
3PGGDL-UClil7JbkoRWA78xiRGIezjN0FqdsqgcV2P-1vJMF7HR1-31_Og_u4yQCNkPv6smoYHznzQ,challenger,1080,144,127,2026-07-02T10:45:35
Hohmw7_GaRRvhCM7I9ZyY5O4BaD1ElPalqAKC5xW0P6DAAfesi0amciznDExxWpb2vE_TafBIFGTqg,challenger,1079,134,114,2026-07-02T10:45:35
JCWNqVTQu4LK6Iew-pV6XY8yzhWfJ75Atjs2qV1Vw6VZAP-VVXewvgpc2QJzCBPsxuIa1qCpVvCAcA,challenger,1073,108,90,2026-07-02T10:45:35
